"trainer/global_step","run-fixed - train/loss_epoch","run-fixed - train/loss_epoch__MIN","run-fixed - train/loss_epoch__MAX","run-fixed - _step","run-fixed - _step__MIN","run-fixed - _step__MAX"
"281","0.5058503150939941","0.5058503150939941","0.5058503150939941","14","14","14"
"563","0.27912580966949463","0.27912580966949463","0.27912580966949463","26","26","26"
"845","0.21630237996578217","0.21630237996578217","0.21630237996578217","37","37","37"
"1127","0.18295173346996307","0.18295173346996307","0.18295173346996307","49","49","49"
"1409","0.1622105985879898","0.1622105985879898","0.1622105985879898","61","61","61"
"1691","0.14066898822784424","0.14066898822784424","0.14066898822784424","72","72","72"
"1973","0.12932449579238892","0.12932449579238892","0.12932449579238892","84","84","84"
"2255","0.12108848989009857","0.12108848989009857","0.12108848989009857","96","96","96"
"2537","0.10834956169128418","0.10834956169128418","0.10834956169128418","107","107","107"
"2819","0.10378462821245193","0.10378462821245193","0.10378462821245193","119","119","119"
