"trainer/global_step","run-fixed - train/loss_step","run-fixed - train/loss_step__MIN","run-fixed - train/loss_step__MAX","run-fixed - _step","run-fixed - _step__MIN","run-fixed - _step__MAX"
"49","0.7512912750244141","0.7512912750244141","0.7512912750244141","4","4","4"
"99","0.6027212142944336","0.6027212142944336","0.6027212142944336","5","5","5"
"149","0.46335074305534363","0.46335074305534363","0.46335074305534363","6","6","6"
"199","0.3615807890892029","0.3615807890892029","0.3615807890892029","7","7","7"
"249","0.3895159959793091","0.3895159959793091","0.3895159959793091","8","8","8"
"299","0.401949942111969","0.401949942111969","0.401949942111969","15","15","15"
"349","0.21222776174545288","0.21222776174545288","0.21222776174545288","16","16","16"
"399","0.32540643215179443","0.32540643215179443","0.32540643215179443","17","17","17"
"449","0.25608348846435547","0.25608348846435547","0.25608348846435547","18","18","18"
"499","0.20749130845069885","0.20749130845069885","0.20749130845069885","19","19","19"
"549","0.20818081498146057","0.20818081498146057","0.20818081498146057","20","20","20"
"599","0.3263860046863556","0.3263860046863556","0.3263860046863556","27","27","27"
"649","0.1834438145160675","0.1834438145160675","0.1834438145160675","28","28","28"
"699","0.2524857521057129","0.2524857521057129","0.2524857521057129","29","29","29"
"749","0.2143707424402237","0.2143707424402237","0.2143707424402237","30","30","30"
"799","0.18014219403266907","0.18014219403266907","0.18014219403266907","31","31","31"
"849","0.23194676637649536","0.23194676637649536","0.23194676637649536","38","38","38"
"899","0.2322053462266922","0.2322053462266922","0.2322053462266922","39","39","39"
"949","0.15742908418178558","0.15742908418178558","0.15742908418178558","40","40","40"
"999","0.11101191490888596","0.11101191490888596","0.11101191490888596","41","41","41"
"1049","0.17957580089569092","0.17957580089569092","0.17957580089569092","42","42","42"
"1099","0.15905341506004333","0.15905341506004333","0.15905341506004333","43","43","43"
"1149","0.16331824660301208","0.16331824660301208","0.16331824660301208","50","50","50"
"1199","0.1881462037563324","0.1881462037563324","0.1881462037563324","51","51","51"
"1249","0.21808072924613953","0.21808072924613953","0.21808072924613953","52","52","52"
"1299","0.12852850556373596","0.12852850556373596","0.12852850556373596","53","53","53"
"1349","0.21757592260837555","0.21757592260837555","0.21757592260837555","54","54","54"
"1399","0.19918197393417358","0.19918197393417358","0.19918197393417358","55","55","55"
"1449","0.14740754663944244","0.14740754663944244","0.14740754663944244","62","62","62"
"1499","0.11017055809497833","0.11017055809497833","0.11017055809497833","63","63","63"
"1549","0.14318223297595978","0.14318223297595978","0.14318223297595978","64","64","64"
"1599","0.11685590445995331","0.11685590445995331","0.11685590445995331","65","65","65"
"1649","0.11746719479560852","0.11746719479560852","0.11746719479560852","66","66","66"
"1699","0.182267963886261","0.182267963886261","0.182267963886261","73","73","73"
"1749","0.1857208013534546","0.1857208013534546","0.1857208013534546","74","74","74"
"1799","0.11383941769599915","0.11383941769599915","0.11383941769599915","75","75","75"
"1849","0.15916886925697327","0.15916886925697327","0.15916886925697327","76","76","76"
"1899","0.08151952177286148","0.08151952177286148","0.08151952177286148","77","77","77"
"1949","0.11774495989084244","0.11774495989084244","0.11774495989084244","78","78","78"
"1999","0.14349712431430817","0.14349712431430817","0.14349712431430817","85","85","85"
"2049","0.14923207461833954","0.14923207461833954","0.14923207461833954","86","86","86"
"2099","0.1602584570646286","0.1602584570646286","0.1602584570646286","87","87","87"
"2149","0.14703886210918427","0.14703886210918427","0.14703886210918427","88","88","88"
"2199","0.1044011041522026","0.1044011041522026","0.1044011041522026","89","89","89"
"2249","0.08117365837097168","0.08117365837097168","0.08117365837097168","90","90","90"
"2299","0.17495451867580414","0.17495451867580414","0.17495451867580414","97","97","97"
"2349","0.09778985381126404","0.09778985381126404","0.09778985381126404","98","98","98"
"2399","0.08215725421905518","0.08215725421905518","0.08215725421905518","99","99","99"
"2449","0.04489526152610779","0.04489526152610779","0.04489526152610779","100","100","100"
"2499","0.1790071725845337","0.1790071725845337","0.1790071725845337","101","101","101"
"2549","0.12972012162208557","0.12972012162208557","0.12972012162208557","108","108","108"
"2599","0.06266907602548599","0.06266907602548599","0.06266907602548599","109","109","109"
"2649","0.11336386948823929","0.11336386948823929","0.11336386948823929","110","110","110"
"2699","0.05108094960451126","0.05108094960451126","0.05108094960451126","111","111","111"
"2749","0.11825761944055557","0.11825761944055557","0.11825761944055557","112","112","112"
"2799","0.11132264137268066","0.11132264137268066","0.11132264137268066","113","113","113"
